😀	grinning face	嘿嘿	grinning face | 嘿嘿 | cheerful | cheery | face | grin | grinning | happy | laugh | nice | smile | smiling | teeth | 笑脸 | 脸 | 高兴
😃	grinning face with big eyes	哈哈	grinning face with big eyes | 哈哈 | awesome | big | eyes | face | grin | grinning | happy | mouth | open | smile | smiling | teeth | yay | 太棒了 | 开口笑 | 开口笑脸 | 笑脸 | 脸 | 高兴
😄	grinning face with smiling eyes	大笑	grinning face with smiling eyes | 大笑 | eye | eyes | face | grin | grinning | happy | laugh | lol | mouth | open | smile | smiling | 哈哈 | 开口而笑的脸 | 开心 | 笑 | 脸 | 露齿而笑 | 高兴
😁	beaming face with smiling eyes	嘻嘻	beaming face with smiling eyes | 嘻嘻 | beaming | eye | eyes | face | grin | grinning | happy | nice | smile | smiling | teeth | 笑脸 | 笑颜 | 脸 | 露齿而笑
😆	grinning squinting face	斜眼笑	grinning squinting face | 斜眼笑 | closed | eyes | face | grinning | haha | hahaha | happy | laugh | lol | mouth | open | rofl | smile | smiling | squinting | 咧嘴笑 | 哈哈 | 开心 | 眯眼 | 眯眼大笑 | 笑 | 脸 | 高兴
😅	grinning face with sweat	苦笑	grinning face with sweat | 苦笑 | cold | dejected | excited | face | grinning | mouth | nervous | open | smile | smiling | stress | stressed | sweat | 冷汗 | 出汗 | 开口冒冷汗的脸 | 汗 | 泄气 | 紧张 | 脸
🤣	rolling on the floor laughing	笑得满地打滚	rolling on the floor laughing | 笑得满地打滚 | crying | face | floor | funny | haha | happy | hehe | hilarious | joy | laugh | lmao | lol | rofl | roflmao | rolling | tear | lolol | 乐翻了 | 哈哈 | 地板 | 太扯了 | 打滚 | 满地打滚的笑 | 笑 | 笑得流泪 | 脸 | 超扯
😂	face with tears of joy	笑哭了	face with tears of joy | 笑哭了 | crying | face | feels | funny | haha | happy | hehe | hilarious | joy | laugh | lmao | lol | rofl | roflmao | tear | 喜极而泣 | 大笑 | 眼泪 | 笑 | 笑哭 | 脸
🙂	slightly smiling face	呵呵	slightly smiling face | 呵呵 | face | happy | slightly | smile | smiling | 开心 | 浅笑的脸 | 笑 | 脸
🙃	upside-down face	倒脸	upside down face | 倒脸 | face | hehe | smile | upside down | 好玩 | 好笑 | 脸 | 颠倒 | 颠倒的脸
🫠	melting face	融化	melting face | 融化 | disappear | dissolve | embarrassed | face | haha | heat | hot | liquid | lol | melt | melting | sarcasm | sarcastic | 冷笑 | 哈哈 | 尴尬 | 微笑 | 消失 | 液体 | 溶解 | 热
😉	winking face	眨眼	winking face | 眨眼 | face | flirt | heartbreaker | sexy | slide | tease | wink | winking | winks | 媚眼 | 撩拨 | 眨眼的脸 | 笑 | 脸
😊	smiling face with smiling eyes	羞涩微笑	smiling face with smiling eyes | 羞涩微笑 | blush | eye | eyes | face | glad | satisfied | smile | smiling | 害羞 | 微笑 | 满意 | 笑脸相迎 | 羞涩 | 脸 | 脸红
😇	smiling face with halo	微笑天使	smiling face with halo | 微笑天使 | angel | angelic | angels | blessed | face | fairy | fairytale | fantasy | halo | happy | innocent | peaceful | smile | smiling | spirit | tale | 光环 | 天使 | 天真 | 幻想 | 微笑 | 脸 | 顶罩光环的笑脸
🥰	smiling face with hearts	喜笑颜开	smiling face with hearts | 喜笑颜开 | 3 | adore | crush | face | heart | hearts | ily | love | romance | smile | smiling | you | 三颗爱心的笑脸 | 心 | 我爱你 | 爱慕 | 相爱 | 笑脸 | 迷恋 | 陷入爱河
😍	smiling face with heart-eyes	花痴	smiling face with heart eyes | 花痴 | 143 | bae | eye | face | feels | heart eyes | hearts | ily | kisses | love | romance | romantic | smile | xoxo | 我爱你 | 爱 | 红心 | 脸
🤩	star-struck	好崇拜哦	star struck | 好崇拜哦 | excited | eyes | face | grinning | smile | star | starry eyed | wow | 兴奋 | 咧嘴笑 | 满天星 | 满眼星 | 脸 | 追星族 | 露齿笑
😘	face blowing a kiss	飞吻	face blowing a kiss | 飞吻 | adorbs | bae | blowing | face | flirt | heart | ily | kiss | love | lover | miss | muah | romantic | smooch | xoxo | you | 亲亲 | 想你 | 我爱你 | 眨眼 | 脸
😗	kissing face	亲亲	kissing face | 亲亲 | 143 | date | dating | face | flirt | ily | kiss | love | smooch | smooches | xoxo | you | 亲吻 | 吻 | 脸
☺️	smiling face	微笑	smiling face | 微笑 | face | happy | outlined | relaxed | smile | smiling | 呵呵 | 开心 | 放松 | 笑 | 脸
😚	kissing face with closed eyes	羞涩亲亲	kissing face with closed eyes | 羞涩亲亲 | 143 | bae | blush | closed | date | dating | eye | eyes | face | flirt | ily | kisses | kissing | smooches | xoxo | 亲亲 | 吻 | 我爱你 | 羞涩 | 脸 | 闭眼 | 闭眼亲吻
😙	kissing face with smiling eyes	微笑亲亲	kissing face with smiling eyes | 微笑亲亲 | 143 | closed | date | dating | eye | eyes | face | flirt | ily | kiss | kisses | kissing | love | night | smile | smiling | 亲亲 | 吻 | 微笑 | 笑颜亲吻 | 脸
🥲	smiling face with tear	含泪的笑脸	smiling face with tear | 含泪的笑脸 | face | glad | grateful | happy | joy | pain | proud | relieved | smile | smiley | smiling | tear | touched | 喜悦 | 喜极而泣 | 幸福 | 微笑 | 微笑的 | 感动 | 感动的 | 感恩的 | 感激 | 眼泪 | 笑中带泪 | 笑脸 | 自豪 | 苦中作乐 | 释怀的 | 骄傲的
😋	face savoring food	好吃	face savoring food | 好吃 | delicious | eat | face | food | full | hungry | savor | smile | smiling | tasty | um | yum | yummy | 口水 | 哈喇子 | 津津有味 | 流口水 | 美味 | 脸
😛	face with tongue	吐舌	face with tongue | 吐舌 | awesome | cool | face | nice | party | stuck out | sweet | tongue | 吐舌头的脸 | 太好了 | 脸 | 舌头 | 调皮
